Позывной,Гос. номер,Расстояние,Стоимость,Наличными,Безнал,Подача,Маршрут,Статус,Тип оплаты,Зачисление,Оценка
184596,AE1268OX,18.20,160.00,160.00,0.00,23-05-2021 08:18,"Наумовича Владимира улица, 4  - Антоновича Владимира улица, 158 ",Выполнен,Оплата наличными,Оплата наличными,5
184596,AE1268OX,13.45,145.00,0.00,145.00,23-05-2021 07:51,"Отрадный проспект, 95Г  - Курбаса Леся проспект, 15  - Ушакова Николая улица, 4 ",Выполнен,Безналичная оплата,На баланс,5
198700,BH9134OH,8.79,140.00,140.00,0.00,23-05-2021 07:33,"Пимоненко Николая улица, 8А  - Монастырь Выдубицкий мужской (ул. Выдубицкая, 40) ",Выполнен,Оплата наличными,Оплата наличными,5
184596,AE1268OX,6.98,74.00,74.00,0.00,23-05-2021 07:24,"Петропавловская улица (Петропавловская Борщаговка), 22  - Королева Академика проспект, 12А ",Выполнен,Оплата наличными,Оплата наличными,5
101768,AE2982OA23-05-2021 07:20,"Кудряшова улица, 4  - Малевича Казимира улица, 31 ",Отменен,Оплата наличными,Оплата наличными,5
184596,AE1268OX,3.54,52.00,52.00,0.00,23-05-2021 07:05,"Рахманинова улица, 30  - Победы проспект, 142А ",Выполнен,Оплата наличными,Оплата наличными,5
82131,AE0439OM,72.00,659.00,0.00,659.00,23-05-2021 06:56,"Жилянская улица, 59  - Аэропорт Борисполь, Терминал Д  - Стрітенська вулиця, 17  - Жилянська вулиця, 59 ",Выполнен,Безналичная оплата,На баланс,
82131,AE0439OM,12.06,119.00,119.00,0.00,23-05-2021 06:31,"Осокорская улица, 2А  - Железнодорожный вокзал Киев-Пассажирский (Вокзальная площадь, 1) ",Выполнен,Оплата наличными,Оплата наличными,
184596,AE1268OX23-05-2021 06:23,"Голосеевский проспект, 130/57  - Харьковское шоссе, 2Б ",Отменен,Безналичная оплата,На баланс,5
101768,AE2982OA,5.56,147.00,0.00,147.00,23-05-2021 06:19,"Тютюнника улица, 51  - Залізничний вокзал Південний (вул. Кірпи Георгія, 4 ) ",Выполнен,Безналичная оплата,На баланс,5
184596,AE1268OX,13.42,127.00,0.00,127.00,23-05-2021 06:00,"Котельникова Михаила улица, 87  - Метро Теремки (в сторону КП Одесса) ",Выполнен,Безналичная оплата,На баланс,5
101768,AE2982OA,8.86,150.00,0.00,150.00,23-05-2021 05:59,"Кирилловская улица, 46  - Тютюнника улица, 56/2 ",Выполнен,Безналичная оплата,На баланс,5
82131,AE0439OM23-05-2021 05:59,"Naberezhne highway, 25  - Коттеджный городок Днепровая хвыля (Козин; Старокиевская ул. 5) ",Отменен,Оплата наличными,Оплата наличными,
198700,BH9134OH,11.65,110.00,110.00,0.00,23-05-2021 05:44,"Вацлава Гавела бульвар, 36В  - Почайнинская улица, 35 ",Выполнен,Оплата наличными,Оплата наличными,5
82131,AE0439OM,20.19,359.00,359.00,0.00,23-05-2021 05:20,"Петлюры Симона улица, 4  - Григоренко Петра проспект, 1/7  - Бажана Миколи проспект, 8 ",Выполнен,Оплата наличными,Оплата наличными,
101768,AE2982OA,2.29,71.00,71.00,0.00,23-05-2021 04:38,"Fedorova Ivana street, 6  - Клініка доктора Василишина (Джона Маккейна вул. 26) ",Выполнен,Оплата наличными,Оплата наличными,5
198700,BH9134OH,11.69,201.00,0.00,201.00,23-05-2021 04:30,"Ресторан Хуторець на Дніпрі (вул. Набережно-Хрещатицька, 10А)  - Петрицкого Анатолия улица, 5/9 ",Выполнен,Безналичная оплата,На баланс,5
82131,AE0439OM,3.73,86.00,86.00,0.00,23-05-2021 04:26,"Ресторан Бохо (ул. Федорова, 4)  - Restaurant Just C.A.F.E. (Воhdana Khmelnytskoho street, 39) ",Выполнен,Оплата наличными,Оплата наличными,2
101768,AE2982OA23-05-2021 04:23,"Супермаркет Билла (Нижний Вал ул. 17/8)  - Кривоноса Максима улица, 27 ",Отменен,Безналичная оплата,На баланс,5
82131,AE0439OM,7.94,142.00,142.00,0.00,23-05-2021 04:06,"Ресторан Урбан Гриль Бар (вул. Хорива, 25/12)  - Тверська вулиця, 2  - Саперне Поле вулиця, 3 ",Выполнен,Оплата наличными,Оплата наличными,
72523,AE8902OT,13.56,191.00,191.00,0.00,23-05-2021 03:57,"Restaurant Mafia (Verkhnii Val street, 24)  - Ушакова Николая улица, 10 ",Выполнен,Оплата наличными,Оплата наличными,5
101768,AE2982OA,2.14,80.00,80.00,0.00,23-05-2021 03:56,"Бутикбар Biancoro (ул. Бассейная, 4)  - Готель Козацький (вул. Михайлівська, 1/3) ",Выполнен,Оплата наличными,Оплата наличными,5
82131,AE0439OM23-05-2021 03:53,"Нижнеюрковская улица, 31  - Никольско-Ботаническая улица, 17/4 ",Отменен,Оплата наличными,Оплата наличными,1
198700,BH9134OH,11.91,195.00,195.00,0.00,23-05-2021 03:37,"Магазин Манго (ул. Крещатик, 21)  - Здолбуновская улица, 13 ",Выполнен,Оплата наличными,Оплата наличными,5
101768,AE2982OA,4.18,116.00,116.00,0.00,23-05-2021 03:36,"Ресторан Razzle Dazzle (вул. Паркова дорога, 2)  - Night Club Skybar (Velyka Vasylkivska street, 5) ",Выполнен,Оплата наличными,Оплата наличными,5
82131,AE0439OM,5.72,97.00,0.00,97.00,23-05-2021 03:33,"Клуб Harem (Большая Васильковская ул. 5)  - Кирилловская улица, 41 ",Выполнен,Безналичная оплата,На баланс,3
82131,AE0439OM,14.22,171.00,0.00,171.00,23-05-2021 02:51,"Глубочицкая улица, 20  - Щусева Академика улица, 8  - Коновальца Евгения улица, 23 ",Выполнен,Безналичная оплата,На баланс,1
74715,AE8901OT,3.23,79.00,0.00,79.00,23-05-2021 02:40,"Бутик Зара (ул. Крещатик, 23)  - ТРЦ Гулливер (Башня А, площадь Спортивная, 1А) ",Выполнен,Безналичная оплата,На баланс,1
151808,AE0193OI,10.03,174.00,0.00,174.00,23-05-2021 02:36,"Ресторан Паблик кафе (ул. Крещатик, 1/2)  - Голосеевский проспект, 118К2 ",Выполнен,Безналичная оплата,На баланс,
82131,AE0439OM,5.29,120.00,120.00,0.00,23-05-2021 02:34,"Ресторан PM.Hall (Парковая дорога, 16А)  - Дмитриевская улица, 75 ",Выполнен,Оплата наличными,Оплата наличными,
198700,BH9134OH,9.81,172.00,172.00,0.00,23-05-2021 02:17,"Метро Арсенальная  - Моторный переулок, 9А ",Выполнен,Оплата наличными,Оплата наличными,5
72523,AE8902OT,10.98,98.00,0.00,98.00,23-05-2021 02:12,"Строителей улица, 22/11  - Антоновича Владимира улица, 43 ",Выполнен,Безналичная оплата,На баланс,1
101768,AE2982OA,13.48,225.00,0.00,225.00,23-05-2021 01:58,"Набережне шосе, 25  - Луговая 9-я улица (Осокорки), 10 ",Выполнен,Безналичная оплата,На баланс,5
101768,AE2982OA,5.79,120.00,120.00,0.00,23-05-2021 01:38,"Ночной клуб Скайбар (ул. Большая Васильковская, 5)  - Ресторан Queen Kyiv (Набережное шоссе, 25) ",Выполнен,Оплата наличными,Оплата наличными,5
198700,BH9134OH,15.24,245.00,245.00,0.00,23-05-2021 01:17,"Кафе Le Cosmopolite (ул. Владимирская, 47)  - Харьковское шоссе, 7  - Братиславская улица, 8 ",Выполнен,Оплата наличными,Оплата наличными,5
101768,AE2982OA,8.40,160.00,160.00,0.00,23-05-2021 01:12,"Метро Крещатик (ул. Крещатик, 19)  - Феодосийская улица, 3В ",Выполнен,Оплата наличными,Оплата наличными,5
189562,AE4780OX,42.54,317.00,0.00,317.00,23-05-2021 01:09,"Витянская улица (Вишневое), 2А  - Аэропорт Борисполь, Терминал Д ",Выполнен,Безналичная оплата,На баланс,
101768,AE2982OA23-05-2021 01:06,"вулиця Старонаводницька, 13  - Джеймса Мейса улица (Бровары), 23 ",Отменен,Оплата наличными,Оплата наличными,5
72523,AE8902OT,2.08,122.00,122.00,0.00,23-05-2021 00:38,"Пушкинская улица, 27  - Большая Житомирская улица, 26А ",Выполнен,Оплата наличными,Оплата наличными,1
189562,AE4780OX,9.30,150.00,150.00,0.00,23-05-2021 00:34,"Zabolotnoho Akademika street, 90  - Единства улица (Крюковщина), 5 ",Выполнен,Оплата наличными,Оплата наличными,
101768,AE2982OA,5.50,110.00,0.00,110.00,23-05-2021 00:31,"Победы проспект, 5В  - Волынская улица, 8 ",Выполнен,Безналичная оплата,На баланс,5
82131,AE0439OM,54.56,479.00,479.00,0.00,23-05-2021 00:29,"Европейская улица (Новые Петровцы), 6  - Аеропорт Бориспіль, Термінал Д ",Выполнен,Оплата наличными,Оплата наличными,
198700,BH9134OH,13.76,150.00,150.00,0.00,23-05-2021 00:29,"Семьи Кристеров улица, 20  - Метростроевская улица, 1/33  - Донца Михаила улица, 14А ",Выполнен,Оплата наличными,Оплата наличными,5
101768,AE2982OA,3.67,71.00,0.00,71.00,23-05-2021 00:04,"Симиренко улица, 34  - Литвиненко-Вольгемут улица, 4 ",Выполнен,Безналичная оплата,На баланс,5
82131,AE0439OM22-05-2021 23:58,"Бистро Пекаря Межигорье (Новые Петровцы, ул. Вышгородская, 155)  - Свободы проспект, 6  - Небесной Сотни проспект (Софиевская Борщаговка), 28/2 ",Отменен,Безналичная оплата,На баланс,
189562,AE4780OX,30.49,330.00,0.00,330.00,22-05-2021 23:52,"Мира улица (Ирпень), 3Б  - ЖК Сказка (ул. Лебедева Академика, 1) ",Выполнен,Безналичная оплата,На баланс,
72523,AE8902OT,2.39,271.00,271.00,0.00,22-05-2021 23:46,"Пушкинская улица, 41  - Жилянская улица, 59 ",Выполнен,Оплата наличными,Оплата наличными,5
198700,BH9134OH,6.13,102.00,102.00,0.00,22-05-2021 23:45,"Почетное консульство Новой Зеландии в Украине (ул. Багговутовская, 17/21)  - Квитневый переулок, 1А ",Выполнен,Оплата наличными,Оплата наличными,5
101768,AE2982OA,2.31,85.00,85.00,0.00,22-05-2021 23:34,"Боголюбова вулиця (Софіївська Борщагівка), 34  - Дизайн готель Роад, Road (дорога Кільцева, 70) ",Выполнен,Оплата наличными,Оплата наличными,5
82131,AE0439OM,21.40,486.00,0.00,486.00,22-05-2021 23:28,Ресторан Karaoke Hub (Сагайдачного Петра ул. 8/10)  - Vul. 3-Ya Budivelʹnykiv ,Выполнен,Безналичная оплата,На баланс,
184596,AE1268OX,9.90,154.00,154.00,0.00,22-05-2021 23:25,"Метро Почтовая площадь (со стороны МакДональдз)  - Правды проспект, 66 ",Выполнен,Оплата наличными,Оплата наличными,5
198700,BH9134OH,8.49,100.00,0.00,100.00,22-05-2021 23:18,"Радищева переулок, 18  - Каблукова Академика улица, 12/14  - Дегтяревская улица, 26А ",Выполнен,Безналичная оплата,На баланс,5
72523,AE8902OT,2.58,113.00,113.00,0.00,22-05-2021 23:13,"Дмитриевская улица, 13А  - Льва Толстого улица, 14 ",Выполнен,Оплата наличными,Оплата наличными,5
74715,AE8901OT,19.64,257.00,257.00,0.00,22-05-2021 23:09,"Драгомирова улица, 17  - Лобановского улица (Крюковщина), 4А ",Выполнен,Оплата наличными,Оплата наличными,1
184596,AE1268OX,18.53,220.00,220.00,0.00,22-05-2021 22:51,"Черкаська вулиця (Петропавлівська Борщагівка), 16  - Метро Поштова площа (у бік центру) ",Выполнен,Оплата наличными,Оплата наличными,5
82131,AE0439OM,2.55,107.00,107.00,0.00,22-05-2021 22:46,"Ивана Мазепы улица, 3  - Метро Почтовая площадь (со стороны МакДональдз) ",Выполнен,Оплата наличными,Оплата наличными,
82131,AE0439OM,4.50,132.00,0.00,132.00,22-05-2021 22:35,"Владимирская улица, 18/2  - Галерея Светлица (ул. Лаврская, 21) ",Выполнен,Безналичная оплата,На баланс,
74715,AE8901OT,5.88,144.00,0.00,144.00,22-05-2021 22:27,"Ресторан Noodle Doodle (Бессарабская площадь, 2)  - Зверинецкая улица, 59 ",Выполнен,Безналичная оплата,На баланс,5
82131,AE0439OM,5.00,119.00,0.00,119.00,22-05-2021 22:16,"Husovskoho street, 2  - Большая Житомирская улица, 25/2 ",Выполнен,Безналичная оплата,На баланс,
74715,AE8901OT,1.15,87.00,0.00,87.00,22-05-2021 22:15,"Велика Васильківська вулиця, 62  - Спортивна площа, 1 ",Выполнен,Безналичная оплата,На баланс,5
184596,AE1268OX,16.98,212.00,212.00,0.00,22-05-2021 22:13,"Супермаркет Фора (Чабаны; Машиностроителей ул. 5Д)  - Соборна вулиця (Софіївська Борщагівка), 53Б  - ЖК Празький (Петропавлівська Борщагівка, вул. Мальовнича, 4/16) ",Выполнен,Оплата наличными,Оплата наличными,5
184596,AE1268OX22-05-2021 22:13,"вулиця Машинобудівників, 4В  - Мишуги Александра улица, 1/4 ",Отменен,Безналичная оплата,На баланс,5
76916,AE3866MC,9.65,120.00,120.00,0.00,22-05-2021 22:09,"Lisova street (N.Petrivtsi), 50  - Кургузова улица (Вышгород), 11Г ",Выполнен,Оплата наличными,Оплата наличными,5
198700,BH9134OH,9.65,157.00,157.00,0.00,22-05-2021 22:04,"Жовтневий Палац (вул. Інститутська, 1)  - Чугуївський провулок, 13А ",Выполнен,Оплата наличными,Оплата наличными,5
82131,AE0439OM,2.73,80.00,0.00,80.00,22-05-2021 22:02,"Ресторан Милк Бар (ул. Руставели Шота, 16)  - Цитадельная улица, 7 ",Выполнен,Безналичная оплата,На баланс,2
74715,AE8901OT,2.02,53.00,53.00,0.00,22-05-2021 21:59,"Кафе Такава (ул. Бассейная, 2А)  - Метро Олимпийская (площадь Троицкая) ",Выполнен,Оплата наличными,Оплата наличными,5
118187,AE7549OE22-05-2021 21:55,"Белорусская улица, 21  - Правды проспект, 76 ",Отменен,Безналичная оплата,На карту,5
82131,AE0439OM,10.97,123.00,0.00,123.00,22-05-2021 21:33,"Dniprovska Naberezhna, 12  - New York Concept House (Antonovycha street, 74) ",Выполнен,Безналичная оплата,На баланс,
184596,AE1268OX,11.84,115.00,0.00,115.00,22-05-2021 21:32,"Малокитаевская улица, 7  - Юности улица (Чабаны), 1А ",Выполнен,Безналичная оплата,На баланс,5
74715,AE8901OT,1.53,109.00,0.00,109.00,22-05-2021 21:32,"Большая Васильковская улица, 2  - Льва Толстого улица, 5А  - Готель Прем'єр Палац (бульв. Тараса Шевченка, 5-7/29) ",Выполнен,Безналичная оплата,На баланс,5
72523,AE8902OT,3.57,75.00,0.00,75.00,22-05-2021 21:21,"Данченко улица, 30  - Автозаводская улица, 27Б ",Выполнен,Безналичная оплата,На баланс,1
198700,BH9134OH,11.21,109.00,109.00,0.00,22-05-2021 21:20,"Машиностроительная улица, 39  - Hotel City Hotel (Khmelnytskoho Bohdana street, 56A)  - Kiev Food Market (Moskovska street, 8) ",Выполнен,Оплата наличными,Оплата наличными,
74715,AE8901OT,1.86,45.00,0.00,45.00,22-05-2021 21:13,"Ярославів Вал вулиця, 19  - Тараса Шевченка бульвар, 1 ",Выполнен,Безналичная оплата,На баланс,1
184596,AE1268OX,6.15,80.00,0.00,80.00,22-05-2021 21:11,"Бассейная улица, 2А  - Феодосийский переулок, 14А ",Выполнен,Безналичная оплата,На баланс,5
